ticker,market_cap,lookup_status,bucket
FLWS,228074256.0,success,Small-cap
FMC,2178284544.0,success,Mid-cap
FMS,12737195008.0,success,Large-cap
FND,5749527552.0,success,Mid-cap
FNKO,220115072.0,success,Small-cap
FNV,49559715840.0,success,Large-cap
FOLD,4540450304.0,success,Mid-cap
FOUR,4904876544.0,success,Mid-cap
FOX,26634016768.0,success,Large-cap
FOXA,27080714240.0,success,Large-cap
FOXF,700274304.0,success,Small-cap
FPI,511682528.0,success,Small-cap
FROG,5194013696.0,success,Mid-cap
FRPT,3374643200.0,success,Mid-cap
FRT,9573954560.0,success,Mid-cap
FSLR,20974387200.0,success,Large-cap
FSLY,3549083904.0,success,Mid-cap
FTI,28866428928.0,success,Large-cap
FTNT,59224137728.0,success,Large-cap
FTV,18856603648.0,success,Large-cap
FULT,4183779584.0,success,Mid-cap
FVRR,382515744.0,success,Small-cap
FWONA,22536206336.0,success,Large-cap
FWONB,20542732288.0,success,Large-cap
FXLV,1072684.0,success,Small-cap
GAP,9595580416.0,success,Mid-cap
GD,91784241152.0,success,Large-cap
GDDY,11126208512.0,success,Large-cap
GDOT,669033728.0,success,Small-cap
GDRX,794772800.0,success,Small-cap
GE,331137712128.0,success,Mega-cap
GEHC,33541890048.0,success,Large-cap
GETY,387018080.0,success,Small-cap
GEV,265734488064.0,success,Mega-cap
GEVO,485764800.0,success,Small-cap
GFL,14077880320.0,success,Large-cap
GFS,26525689856.0,success,Large-cap
GH,11131123712.0,success,Large-cap
GILD,173483048960.0,success,Large-cap
GILT,1389420032.0,success,Small-cap
GIS,18406666240.0,success,Large-cap
GLAXF,118239576064.0,success,Large-cap
GLD,114651734016.0,success,Large-cap
GLDD,1135273600.0,success,Small-cap
GLW,144546430976.0,success,Large-cap
GM,72557953024.0,success,Large-cap
GMBL,217736.0,success,Small-cap
GME,11115220992.0,success,Large-cap
GNRC,11995023360.0,success,Large-cap
GNTX,4672077312.0,success,Mid-cap
GO,709646848.0,success,Small-cap
GOGO,637045440.0,success,Small-cap
GOLD,1265903488.0,success,Small-cap
GOLF,5653192192.0,success,Mid-cap
GOOG,4046083850240.0,success,Mega-cap
GOOGL,4078140653568.0,success,Mega-cap
GOOS,1116005888.0,success,Small-cap
GPC,15364645888.0,success,Large-cap
GPI,3967871488.0,success,Mid-cap
GPN,19640674304.0,success,Large-cap
GPRK,591163968.0,success,Small-cap
GPRO,183861904.0,success,Small-cap
GRAB,16073888768.0,success,Large-cap
GRMN,51169103872.0,success,Large-cap
GRPN,526552064.0,success,Small-cap
GRWG,66099996.0,success,Small-cap
GS,266926292992.0,success,Mega-cap
GSK,115502366720.0,success,Large-cap
GT,1928261120.0,success,Small-cap
GTBIF,1701162496.0,success,Small-cap
GTLB,3702072320.0,success,Mid-cap
GTLS,9955564544.0,success,Mid-cap
GTM,1877562112.0,success,Small-cap
GTN,648271616.0,success,Small-cap
GTT,,no_cap,
GWRE,11611069440.0,success,Large-cap
GXO,6396428800.0,success,Mid-cap
HAE,2899859200.0,success,Mid-cap
HAIN,78899800.0,success,Small-cap
HAL,31441565696.0,success,Large-cap
HAS,13214613504.0,success,Large-cap
HASI,5165718528.0,success,Mid-cap
HAYW,3186573056.0,success,Mid-cap
HB1,,no_cap,
HBAN,33958785024.0,success,Large-cap
HBIO,25669222.0,success,Small-cap
HCAT,90511008.0,success,Small-cap
HD,337563746304.0,success,Mega-cap
HEI,40789598208.0,success,Large-cap
HI,,no_cap,
HIG,38276022272.0,success,Large-cap
HII,15677234176.0,success,Large-cap
HIMS,5536632832.0,success,Mid-cap
HJ1,,no_cap,
HL,12821220352.0,success,Large-cap
